WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
25,25,1,0.35,0.43,3.5,1,0,15.52,14.9,13.45,0.61,-16.47,-24.21,-51.34,-59.06,1.58,7.26,7.23,7.85,option_119.png
35,25,1,0.35,0.43,3.5,1,0,16.41,15.61,22.87,0.74,-11.68,-20.60,-17.26,-50.34,2.35,7.44,7.61,7.92,option_120.png
45,25,1,0.35,0.43,3.5,1,0,17.28,16.99,31.63,0.88,-7.00,-13.58,14.44,-40.94,3.05,7.21,7.64,7.97,option_121.png
25,35,1,0.35,0.43,3.5,1,0,15.65,15.07,15.18,0.64,-15.77,-23.35,-45.08,-57.05,1.77,7.15,7.23,7.93,option_122.png
35,35,1,0.35,0.43,3.5,1,0,16.55,15.7,24.28,0.78,-10.93,-20.14,-12.16,-47.65,2.4,7.36,7.56,7.91,option_123.png
45,35,1,0.35,0.43,3.5,1,0,17.41,17.16,32.81,0.92,-6.30,-12.72,18.70,-38.26,3.26,7.17,7.53,7.93,option_124.png
25,45,1,0.35,0.43,3.5,1,0,15.86,14.97,16.56,0.69,-14.64,-23.86,-40.09,-53.69,1.84,7.17,7.28,7.89,option_125.png
35,45,1,0.35,0.43,3.5,1,0,16.64,16.29,25.41,0.83,-10.44,-17.14,-8.07,-44.30,2.49,7.16,7.44,7.89,option_126.png
45,45,1,0.35,0.43,3.5,1,0,17.52,17.21,33.77,0.96,-5.71,-12.46,22.18,-35.57,3.56,7.07,7.45,7.95,option_127.png
25,25,2,0.35,0.43,3.5,1,0,14.96,11.76,10.05,0.1,-19.48,-40.18,-63.64,-93.29,0.32,4.82,4.71,4.35,option_128.png
35,25,2,0.35,0.43,3.5,1,0,15.82,12.31,14.37,0.13,-14.85,-37.39,-48.01,-91.28,0.42,4.62,4.5,4.24,option_129.png
45,25,2,0.35,0.43,3.5,1,0,16.62,12.81,18.6,0.17,-10.55,-34.84,-32.71,-88.59,0.49,4.54,4.46,4.18,option_130.png
25,35,2,0.35,0.43,3.5,1,0,15.16,11.96,10.74,0.1,-18.41,-39.17,-61.14,-93.29,0.35,4.7,4.62,4.33,option_131.png
35,35,2,0.35,0.43,3.5,1,0,15.97,12.38,15.04,0.13,-14.05,-37.03,-45.59,-91.28,0.42,4.65,4.49,4.22,option_132.png
45,35,2,0.35,0.43,3.5,1,0,16.77,12.92,19.36,0.17,-9.74,-34.28,-29.96,-88.59,0.5,4.49,4.45,4.09,option_133.png
25,45,2,0.35,0.43,3.5,1,0,15.32,12.02,11.32,0.1,-17.55,-38.86,-59.04,-93.29,0.39,4.75,4.55,4.3,option_134.png
